acc_x,acc_y,acc_z
0.485,0.092,0.953
0.485,0.092,0.953
0.534,0.218,1.045
0.534,0.218,1.045
0.534,0.218,1.045
0.582,0.289,1.096
0.582,0.289,1.096
0.582,0.289,1.096
0.557,0.234,1.015
0.557,0.234,1.015
0.557,0.234,1.015
0.534,0.139,0.873
0.534,0.139,0.873
0.534,0.139,0.873
0.544,0.026,0.794
0.544,0.026,0.794
0.544,0.026,0.794
0.596,-0.062,0.776
0.596,-0.062,0.776
0.596,-0.062,0.776
0.575,-0.138,0.803
0.575,-0.138,0.803
0.575,-0.138,0.803
0.522,-0.202,0.88
0.522,-0.202,0.88
0.522,-0.202,0.88
0.492,-0.215,0.965
0.492,-0.215,0.965
0.492,-0.215,0.965
0.454,-0.214,1.008
0.454,-0.214,1.008
0.454,-0.214,1.008
0.463,-0.21,0.939
0.463,-0.21,0.939
0.463,-0.21,0.939
0.606,-0.223,0.861
0.606,-0.223,0.861
0.606,-0.223,0.861
0.64,-0.273,0.83
0.64,-0.273,0.83
0.64,-0.273,0.83
0.481,-0.284,0.797
0.481,-0.284,0.797
0.481,-0.284,0.797
0.438,-0.323,0.831
0.438,-0.323,0.831
0.438,-0.323,0.831
0.469,-0.376,0.895
0.469,-0.376,0.895
0.469,-0.376,0.895
0.422,-0.41,0.879
0.422,-0.41,0.879
0.422,-0.41,0.879
0.343,-0.412,0.858
0.343,-0.412,0.858
0.343,-0.412,0.858
0.264,-0.407,0.859
0.264,-0.407,0.859
0.264,-0.407,0.859
0.325,-0.418,0.823
0.325,-0.418,0.823
0.325,-0.418,0.823
0.386,-0.427,0.797
0.386,-0.427,0.797
0.386,-0.427,0.797
0.37,-0.402,0.806
0.37,-0.402,0.806
0.37,-0.402,0.806
0.349,-0.351,0.838
0.349,-0.351,0.838
0.349,-0.351,0.838
0.281,-0.275,0.854
0.281,-0.275,0.854
0.281,-0.275,0.854
0.18,-0.166,0.877
0.18,-0.166,0.877
0.18,-0.166,0.877
0.115,-0.047,0.899
0.115,-0.047,0.899
0.115,-0.047,0.899
0.216,0.026,0.94
0.216,0.026,0.94
0.216,0.026,0.94
0.519,0.101,1.03
0.519,0.101,1.03
0.519,0.101,1.03
0.697,0.219,1.155
0.697,0.219,1.155
0.697,0.219,1.155
0.557,0.36,1.195
0.557,0.36,1.195
0.557,0.36,1.195
0.477,0.33,1.099
0.477,0.33,1.099
0.477,0.33,1.099
0.428,0.173,0.904
0.428,0.173,0.904
0.428,0.173,0.904
0.458,0.012,0.807
0.458,0.012,0.807
0.458,0.012,0.807
0.547,-0.112,0.833
0.547,-0.112,0.833
0.547,-0.112,0.833
0.667,-0.178,0.871
0.158,0.211,1.134
0.158,0.211,1.134
0.158,0.211,1.134
0.183,0.308,1.15
0.183,0.308,1.15
0.183,0.308,1.15
0.305,0.351,1.109
0.305,0.351,1.109
0.305,0.351,1.109
0.31,0.301,1.027
0.31,0.301,1.027
0.31,0.301,1.027
0.237,0.201,0.957
0.237,0.201,0.957
0.237,0.201,0.957
0.349,0.082,0.933
0.349,0.082,0.933
0.349,0.082,0.933
0.375,-0.047,0.937
0.375,-0.047,0.937
0.375,-0.047,0.937
0.334,-0.169,0.918
0.334,-0.169,0.918
0.334,-0.169,0.918
0.278,-0.25,0.992
0.278,-0.25,0.992
0.278,-0.25,0.992
0.258,-0.256,1.061
0.258,-0.256,1.061
0.258,-0.256,1.061
0.381,-0.209,1.07
0.381,-0.209,1.07
0.381,-0.209,1.07
0.413,-0.158,1.046
0.413,-0.158,1.046
0.413,-0.158,1.046
0.177,-0.104,0.96
0.177,-0.104,0.96
0.177,-0.104,0.96
-0.015,-0.097,0.888
-0.015,-0.097,0.888
-0.015,-0.097,0.888
-0.123,-0.149,0.919
-0.123,-0.149,0.919
-0.123,-0.149,0.919
-0.146,-0.199,1.004
-0.146,-0.199,1.004
-0.146,-0.199,1.004
0.05,-0.299,1.05
0.05,-0.299,1.05
0.05,-0.299,1.05
0.263,-0.405,1.003
0.263,-0.405,1.003
0.263,-0.405,1.003
0.412,-0.505,0.93
0.412,-0.505,0.93
0.412,-0.505,0.93
0.433,-0.546,0.902
0.433,-0.546,0.902
0.433,-0.546,0.902
0.336,-0.526,0.876
0.336,-0.526,0.876
0.336,-0.526,0.876
0.198,-0.477,0.856
0.198,-0.477,0.856
0.198,-0.477,0.856
0.046,-0.376,0.822
0.046,-0.376,0.822
0.046,-0.376,0.822
0.08,-0.238,0.813
0.08,-0.238,0.813
0.08,-0.238,0.813
0.128,-0.066,0.905
0.128,-0.066,0.905
0.128,-0.066,0.905
0.167,0.102,1.019
0.167,0.102,1.019
0.167,0.102,1.019
0.384,0.272,1.118
0.384,0.272,1.118
0.384,0.272,1.118
0.47,0.41,1.17
0.47,0.41,1.17
0.47,0.41,1.17
0.348,0.515,1.095
0.348,0.515,1.095
0.348,0.515,1.095
0.396,0.499,1.026
