acc_x,acc_y,acc_z
0.057,-0.063,0.98
0.057,-0.063,0.98
0.057,-0.063,0.98
0.145,-0.176,0.957
0.145,-0.176,0.957
0.145,-0.176,0.957
0.169,-0.237,0.953
0.169,-0.237,0.953
0.169,-0.237,0.953
0.157,-0.259,0.948
0.157,-0.259,0.948
0.157,-0.259,0.948
0.116,-0.259,0.947
0.116,-0.259,0.947
0.116,-0.259,0.947
0.107,-0.229,0.949
0.107,-0.229,0.949
0.107,-0.229,0.949
0.162,-0.132,0.94
0.162,-0.132,0.94
0.162,-0.132,0.94
0.209,-0.038,0.975
0.209,-0.038,0.975
0.209,-0.038,0.975
0.179,0.024,1.015
0.22,-0.483,0.996
0.22,-0.483,0.996
0.22,-0.483,0.996
0.182,-0.533,0.938
0.182,-0.533,0.938
0.182,-0.533,0.938
0.07,-0.53,0.847
0.07,-0.53,0.847
0.07,-0.53,0.847
0.041,-0.47,0.799
0.041,-0.47,0.799
0.041,-0.47,0.799
0.112,-0.369,0.899
0.112,-0.369,0.899
0.112,-0.369,0.899
0.145,-0.198,1.079
0.145,-0.198,1.079
0.145,-0.198,1.079
0.032,-0.033,1.148
0.032,-0.033,1.148
0.032,-0.033,1.148
-0.059,0.047,1.082
-0.059,0.047,1.082
-0.059,0.047,1.082
0.053,0.015,0.969
0.053,0.015,0.969
0.053,0.015,0.969
0.128,-0.065,0.934
0.128,-0.065,0.934
0.128,-0.065,0.934
0.24,-0.17,0.955
0.24,-0.17,0.955
0.24,-0.17,0.955
0.311,-0.277,0.954
0.311,-0.277,0.954
0.311,-0.277,0.954
0.267,-0.326,0.902
0.267,-0.326,0.902
0.267,-0.326,0.902
0.15,-0.323,0.861
0.15,-0.323,0.861
0.15,-0.323,0.861
0.081,-0.294,0.91
0.081,-0.294,0.91
0.081,-0.294,0.91
0.099,-0.286,0.993
0.099,-0.286,0.993
0.099,-0.286,0.993
0.096,-0.244,0.992
0.096,-0.244,0.992
0.096,-0.244,0.992
0.159,-0.182,0.957
0.159,-0.182,0.957
0.159,-0.182,0.957
0.269,-0.111,0.975
0.269,-0.111,0.975
0.269,-0.111,0.975
0.327,-0.031,1.008
0.327,-0.031,1.008
0.327,-0.031,1.008
0.333,0.086,1.044
0.333,0.086,1.044
0.333,0.086,1.044
0.271,0.168,1.075
0.271,0.168,1.075
0.271,0.168,1.075
0.202,0.209,1.078
0.202,0.209,1.078
0.202,0.209,1.078
0.192,0.212,1.084
0.192,0.212,1.084
0.192,0.212,1.084
0.286,0.194,1.09
0.286,0.194,1.09
0.286,0.194,1.09
0.313,0.189,1.098
0.313,0.189,1.098
0.313,0.189,1.098
0.297,0.166,1.07
0.297,0.166,1.07
0.297,0.166,1.07
0.338,0.167,1.021
0.338,0.167,1.021
0.338,0.167,1.021
0.291,0.167,1.01
0.291,0.167,1.01
0.291,0.167,1.01
0.254,0.103,0.953
0.254,0.103,0.953
0.254,0.103,0.953
0.284,0.036,0.943
0.284,0.036,0.943
0.284,0.036,0.943
0.165,-0.148,0.938
0.165,-0.148,0.938
0.165,-0.148,0.938
0.232,-0.339,0.933
0.232,-0.339,0.933
0.232,-0.339,0.933
0.377,-0.428,0.904
