acc_x,acc_y,acc_z
0.449,-0.034,0.961
0.449,-0.034,0.961
0.449,-0.034,0.961
0.433,-0.057,0.942
0.433,-0.057,0.942
0.433,-0.057,0.942
0.407,-0.071,0.952
0.407,-0.071,0.952
0.407,-0.071,0.952
0.455,-0.069,0.966
0.455,-0.069,0.966
0.455,-0.069,0.966
0.491,-0.071,1.006
0.491,-0.071,1.006
0.491,-0.071,1.006
0.481,-0.057,1.031
0.481,-0.057,1.031
0.481,-0.057,1.031
0.446,-0.042,1.0
0.446,-0.042,1.0
0.446,-0.042,1.0
0.42,-0.043,0.936
0.42,-0.043,0.936
0.42,-0.043,0.936
0.501,-0.049,0.915
0.501,-0.049,0.915
0.501,-0.049,0.915
0.599,-0.034,0.916
0.599,-0.034,0.916
0.599,-0.034,0.916
0.57,0.016,0.906
0.57,0.016,0.906
0.57,0.016,0.906
0.485,0.091,0.926
0.485,0.091,0.926
0.485,0.091,0.926
0.442,0.147,0.946
0.442,0.147,0.946
0.442,0.147,0.946
0.457,0.175,0.979
0.457,0.175,0.979
0.457,0.175,0.979
0.467,0.154,0.967
0.467,0.154,0.967
0.467,0.154,0.967
0.436,0.146,0.875
0.436,0.146,0.875
0.436,0.146,0.875
0.425,0.095,0.791
0.425,0.095,0.791
0.425,0.095,0.791
0.383,0.003,0.81
0.383,0.003,0.81
0.383,0.003,0.81
0.46,-0.026,0.91
0.46,-0.026,0.91
0.46,-0.026,0.91
0.451,-0.031,1.014
0.451,-0.031,1.014
0.451,-0.031,1.014
0.446,-0.031,1.091
0.446,-0.031,1.091
0.446,-0.031,1.091
0.411,-0.014,1.044
0.411,-0.014,1.044
0.411,-0.014,1.044
0.371,-0.029,0.959
0.371,-0.029,0.959
0.371,-0.029,0.959
0.385,-0.053,0.9
0.385,-0.053,0.9
0.385,-0.053,0.9
0.357,-0.033,0.855
0.357,-0.033,0.855
0.357,-0.033,0.855
0.307,-0.014,0.862
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.278,0.073,0.934
0.37,0.07,0.912
0.466,0.008,0.843
0.534,-0.093,0.849
0.534,-0.142,0.901
0.526,-0.168,0.924
0.485,-0.182,0.917
0.377,-0.156,0.919
0.316,-0.115,0.937
0.327,-0.117,0.919
0.357,-0.126,0.9
0.473,-0.114,0.916
0.496,-0.091,0.941
0.418,-0.08,0.974
0.297,-0.062,0.925
0.326,-0.104,0.839
0.326,-0.176,0.796
0.402,-0.195,0.807
0.526,-0.199,0.877
0.553,-0.208,0.917
0.516,-0.209,0.903
0.503,-0.201,0.929
0.473,-0.186,0.973
0.461,-0.171,0.958
0.447,-0.148,0.925
0.439,-0.149,0.907
0.443,-0.176,0.869
0.461,-0.211,0.778
0.486,-0.24,0.709
0.5,-0.218,0.756
0.469,-0.175,0.818
0.578,-0.2,0.799
0.629,-0.166,0.834
0.53,-0.116,0.846
0.553,-0.109,0.854
0.55,-0.111,0.887
0.517,-0.11,0.92
0.511,-0.126,0.903
0.529,-0.143,0.872
0.541,-0.144,0.85
0.567,-0.146,0.835
0.614,-0.155,0.847
0.631,-0.167,0.877
0.618,-0.172,0.866
0.575,-0.177,0.829
0.552,-0.188,0.818
0.55,-0.198,0.858
0.53,-0.203,0.883
0.539,-0.213,0.872
0.533,-0.199,0.829
0.542,-0.171,0.793
0.589,-0.14,0.803
0.609,-0.095,0.841
0.56,-0.041,0.896
0.475,0.01,0.91
0.432,0.037,0.94
0.43,0.039,0.946
0.49,-0.002,0.877
0.522,-0.075,0.788
0.513,-0.162,0.787
0.59,-0.167,0.891
0.532,-0.14,0.969
0.402,-0.124,0.969
0.323,-0.108,0.939
0.325,-0.097,0.94
0.392,-0.099,0.917
0.441,-0.116,0.877
0.43,-0.103,0.895
0.383,-0.073,0.91
0.388,-0.075,0.92
0.399,-0.097,0.931
0.366,-0.088,0.898
0.399,-0.149,0.795
0.431,-0.192,0.716
0.524,-0.225,0.778
0.594,-0.231,0.858
0.547,-0.232,0.866
0.51,-0.21,0.906
0.487,-0.199,0.951
0.438,-0.158,0.939
